id,tokens,tags
1823,Einsatzausrüstung für den Brandeinsatz,O O O O
95,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,O O O O O O O O O O O O
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O B O O O O O O O O O O O O O O
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O O O O O O O O O
401,Trupp entfernt es mit dem Klappmesser,B O O O O O
2237,Fahr mal bitte näher daran und mach mal Foto wie er das macht,O O O O O O O O O O O O O
415,Sie transportieren die Person in der Krankentrage,B O O O O O O
450,Sie bewegen sich zum Fenster auf der rechten Seite,B O O O O O O O O
427,D3 fährt in die Halle rein,B O O O O O
2500,Das ist so korrekt der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,O O O O O O O O O O O O O O B O O O O O O O O O
257,könnt ihr was erkunden was da in lauter Rauch steht,O B O O O O O O O O
2535,Der D1 ist jetzt gerade im Akkuwechsel für sie Übergangsaufrag Bilddarstellung in der Lagerhalle innen kommen,O O O O O O O O B O O O O O O O
405,Trupp trennt die Zäunen mit dem Bolzenschneider,B O O O O O O
360,Wassertrupp mit dem Rollschlauch zur Brandbekämpfung vor,B O O O O O O
2442,Die Einsatzstelle wurde begangen Wir haben einen Gefahrstoffunfall in einem Lager Für sie erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,O O O O O O O O O O O O B O O O O O O O O O
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O B O O O O O O O O O O O O
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O B O O O O O O O O O
2180,Wenn du da nichts entdeckst weiter Richtung Osten,O O O O O O O O
2043,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,O B I O O O O O O O O O O O
403,Sie zerbrechen die Deckel mit der Holzaxt,B O O O O O O
1108,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,O O O O O O O O O O O O O O O O O O O O O O
1819,Bereitstellungsraum für die vorgehenden Trupps fünf Meter vor dem Löschfahrzeug,O O O O O O O O O O
1722,ihr setzt die Erkundung in östlicher Richtung weiter fort,B O O O O O O O O
897,neuer Auftrag lautet Suchen von Leckagen von Undichtigkeiten und Chemikalien,O O O O O O O O O O
861,absuchen der Fläche vielleicht finden wir die Person dort mit dem Wärmebild,O O O O O O O O O O O O
1197,ja bleib mal da wo du jetzt bist,O O O O O B O O
1117,und guckst ob du von dort aus noch Personen erkennen kannst,O O O O O O O O O O O
448,Zum Transport der Verletzten hinter dem Gabelstepler,O O O O O O O
1043,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,O O O O O O O O O O
2472,ein stückchen näher ran,O O O O
434,Die Aufgabe für Sie   zur Sicherstellung des zweiten in der Bauordnung geforderten Rettungswegs mit der Drehleiter,O O O B O O O O O O O O O O O O O O
383,Wassertrupp erzeugt mit dem Zumischer den Löschschaum,B O O O O O O
1177,wenn du jetzt startest den Hochofen der von euch weiter weg ist   von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,O B O O O O O O O O O O O O O O O O O O O O O O O O O
455,Drohnenoperator zur Personensuche mit UAV in die Halle über die rechte Seite vor,B O O O O O O O O O O O O
2108,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist,O B O O O O O O O O O
2283,Kannst du dich in die Richtung zurückbegeben und da mal nachgucken,O B O O O O O O O O O
430,UGV Operator erkundet den Gefahrenbereich im zweiten Stock,B I O O O O O O
2206,Dass du dass du mal ein Foto machst du auf Höhe von ASA 310,O B O O O O O O O O O O O O
356,Den obersten Schlauch am Verteiler ankuppeln und mit dem Schlauchtragekorb in das Gebäude vorgehen,O O O O O O O O O O O O O O
1873,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1843,wie besprochen Gebiet erkunden rund um die beiden Hochöfen vermutlich Explosion oder irgendwas mit Chemikalien,O O O O O O O O O O O O O O O
398,Der Trupp leuchtet den Gefahrenbereich mit dem Flutlichtstrahler,B I O O O O O O
2205,Dann bitte erneut starten und dann in östlicher Richtung erst mal fliegen,O O O O O O O O O O O O
1447,ja startet mal und fliegt ja startet erst mal,O O O O O O O O O
1391,In erster Linie suchen wir nach Verletzten,O O O O B O O
484,Operator Boden 1 fahren Sie nach links,B I I O O O O
370,Maschinist zur Unterstützung beim Aufbau der Wasserversorgung vor,B O O O O O O O
382,Angriffstrupp zur Brandbekämpfung mit dem Schaumstrahlrohr vor,B O O O O O O
445,D3 geht Richtung Osten,B O O O
2188,Guck dir das mal genauer an bitte wenn du da hochkommst,O O O O O O O O B O O
1428,Das ist verstanden dann folgen Sie den UGV 2,O O O O O B O O O
387,Wassertrupp zur Löschwasserentnahme durch Saugbetrieb vor,B O O O O O
2302,Kannst du ein Foto machen,O B O O O
410,Sie trennen die Türpfosten am Fahrzeug mit dem Schneidgerät,B O O O O O O O O
1243,mehr Richtung Hochofen einmal schauen,O O O O O
367,Gerätebereitstellung an der Absperrgrenze,O O O O
369,Maschinist stellt die Geräte bereit,B O O O O
1138,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2060,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,O B O O O O O O O O O O O O O
2159,Du machst mir jetzt ein Foto dann gucken wir,B O O O O O O O O
396,Angriffstrupp zum Herunterreißen von Decken mit dem Einreißhaken,B O O O O O O O
2325,UAV dann bitte starten Live Monitoring guck mal ob du da weitere Rauchentwicklungen finden kannst,B O O O O O O O O B O O O O O
2221,Dein Einsatzauftrag trotzdem setz den Arm ein und nimm die Probe auf,O O O O O O O O O O O O
2359,Ja dann versuch vorsichtig zurückzukommen,O O O O O
1822,Angriffstrupp zur Personenrettung unter PA mit erster Rohr in die dritte Etage über das Treppenhaus vor,B O O O O O O O O O O O O O O O
458,D 3 zum Transport in die Halle vor,B I O O O O O O
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,B O O O O
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O O O O O O O O O O O O O O O
1919,UGV 1 UGV 2 könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat,B I I I O O O O O O O O O
2260,Kreise mal bitte jetzt dann um ASA 352 herum,O O O O O O O O O
428,D4 meldet die Gefahrstoffe,B O O O
84,UGV 1 damit warten,B I O O
1332,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,O B O O O O O O O O O O O O O
1970,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,O O O O O O O O O O O O O O
260,dann schick mir mal n Foto davon,O O O O O O O
474,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,O O B O O O O O O O O O O O
2573,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,O B O O O O O O O O O O O O O O
2339,Halt deine Position,O O O
449,Sie gehen ins Gebäude durch den Vordereingang,B O O O O O O
1713,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,O O O O O O O O O O O O O
357,Wassertrupp zur Schlauchhaspel,B O O
2148,Unser Auftrag Gasquelle lokalisieren,O O O O
905,benötige Foto,O O
510,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe und dann ein Foto senden,O B O O O O O O O O O O O O O O
459,D5 macht den Überblick und die Fotos im inneren Bereich,B O O O O O O O O O
394,Angriffstrupp bricht die Tür mit der Brechstange,B O O O O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,B I I O O O O O O O O O O O O O O O
362,Der Trupp startet ein Innenangriff mit der Schnellangriffsleitung,B I O O O O O O
2633,Das ist verstanden dann für sie neuer Erkungnsauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,O O O O O B O O O O O O O O O O O O O O
1995,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,O O O O O O O O O O O O O
391,Schlauchtrupp zur Löschwasserentnahme durch Überflurhydrant vor,B O O O O O
1374,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,O O O O O O O O O O O O O O O O
399,Sie heben den Deckel mit dem Hebebaum,B O O O O O O
418,Gruppenführer Erkundung mit dem D3 im Inneren der Lagerhalle,B O O O O O O O O
478,Boden 1 nach rechts,B I O O
953,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,O O O O O B O O O O O O O O O O O O O O O O O O O
1229,Drohnenoperator starten Sie und über  machen Sie sich einen Überblick über die Lage,B O O O O O O O O O O O O O
355,alle bitte hier zum Treffpunkt ans Zelt kommen,B O O O O O O O
404,Für Sie Auftrag die Metallstäben mit dem Bolzenschneider trennen,O B O O O O O O O
2603,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch es soll wohl noch Rauch aus den Schächten an der Seite kommen kommen,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
